Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by INDP - 4 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INDP - 4 Digit Level","Sugar Cane Growing","Sugar Manufacturing","Total",
"Bentleigh East (South)",0,0,0,
"Aspendale Gardens - Waterways",0,0,0,
"Braeside",0,0,0,
"Carrum - Patterson Lakes",0,0,0,
"Chelsea - Bonbeach",0,0,0,
"Chelsea Heights",0,0,0,
"Cheltenham - Highett (East)",0,0,0,
"Edithvale - Aspendale",0,0,0,
"Mentone",0,0,0,
"Moorabbin - Heatherton",0,0,0,
"Moorabbin Airport",0,0,0,
"Mordialloc - Parkdale",0,0,0,
"Malvern - Glen Iris",0,0,0,
"Malvern East",0,0,0,
"Bundoora - East",0,0,0,
"Greensborough",0,0,0,
"Heidelberg - Rosanna",0,0,0,
"Heidelberg West",0,0,0,
"Ivanhoe",0,0,0,
"Ivanhoe East - Eaglemont",0,0,0,
"Montmorency - Briar Hill",0,0,0,
"Viewbank - Yallambie",0,0,0,
"Watsonia",0,0,0,
"Kingsbury",0,0,0,
"Reservoir - East",0,0,0,
"Reservoir - West",0,0,0,
"Preston - East",0,0,0,
"Preston - West",0,0,0,
"Eltham",0,0,0,
"Hurstbridge",0,0,0,
"Kinglake",0,0,0,
"Panton Hill - St Andrews",0,0,0,
"Plenty - Yarrambat",0,0,0,
"Research - North Warrandyte",0,0,0,
"Wattle Glen - Diamond Creek",0,0,0,
"Bundoora - North",0,0,0,
"Bundoora - West",0,0,0,
"Lalor",0,0,0,
"Mill Park - North",0,0,0,
"Mill Park - South",0,0,0,
"Thomastown",0,0,0,
"Wallan",0,0,0,
"Whittlesea",0,0,0,
"Doreen",0,0,0,
"Epping - East",0,0,0,
"Epping - South",0,0,0,
"Epping - West",0,0,0,
"Mernda",0,0,0,
"South Morang (North)",0,0,0,
"South Morang (South)",0,0,0,
"Wollert",0,0,0,
"Airport West",0,0,0,
"Essendon Airport",0,0,0,
"Keilor",0,0,0,
"Keilor East",0,4,4,
"Niddrie - Essendon West",0,0,0,
"Strathmore",0,5,5,
"Gisborne",0,3,3,
"Macedon",0,0,0,
"Riddells Creek",0,0,0,
"Romsey",0,0,0,
"Coburg North",0,0,0,
"Fawkner",0,0,0,
"Pascoe Vale",0,0,0,
"Glenroy",0,0,0,
"Gowanbrae",0,0,0,
"Hadfield",0,0,0,
"Sunbury",0,0,0,
"Sunbury - South",0,0,0,
"Broadmeadows",0,0,0,
"Campbellfield - Coolaroo",0,0,0,
"Gladstone Park - Westmeadows",0,0,0,
"Greenvale - Bulla",0,0,0,
"Meadow Heights",0,0,0,
"Melbourne Airport",0,0,0,
"Roxburgh Park - Somerton",0,0,0,
"Tullamarine",0,0,0,
"Craigieburn - Central",0,0,0,
"Craigieburn - North",0,0,0,
"Craigieburn - South",0,0,0,
"Craigieburn - West",0,0,0,
"Mickleham - Yuroke",0,0,0,
"Bayswater",0,0,0,
"Knoxfield - Scoresby",0,0,0,
"Lysterfield",0,0,0,
"Rowville - Central",0,0,0,
"Rowville - North",0,0,0,
"Rowville - South",0,0,0,
"Wantirna",0,0,0,
"Wantirna South",0,0,0,
"Boronia",0,0,0,
"Ferntree Gully (North)",0,0,0,
"Ferntree Gully (South) - Upper Ferntree Gully",0,0,0,
"The Basin",0,0,0,
"Donvale - Park Orchards",0,3,3,
"Warrandyte - Wonga Park",0,0,0,
"Bayswater North",0,0,0,
"Croydon Hills - Warranwood",0,0,0,
"Ringwood",0,0,0,
"Ringwood East",0,3,3,
"Ringwood North",0,0,0,
"Croydon - East",0,0,0,
"Croydon - West",0,0,0,
"Croydon South",0,0,0,
"Forest Hill",0,0,0,
"Mitcham (Vic.)",0,0,0,
"Nunawading",0,0,0,
"Vermont",0,0,0,
"Vermont South",0,0,0,
"Belgrave - Selby",0,0,0,
"Chirnside Park",0,0,0,
"Healesville - Yarra Glen",0,0,0,
"Kilsyth",0,0,0,
"Lilydale - Coldstream",0,0,0,
"Monbulk - Silvan",0,0,0,
"Montrose",0,0,0,
"Mooroolbark",0,0,0,
"Mount Dandenong - Olinda",0,0,0,
"Mount Evelyn",0,0,0,
"Upwey - Tecoma",0,0,0,
"Wandin - Seville",0,0,0,
"Yarra Valley",0,0,0,
"Beaconsfield - Officer",0,0,0,
"Bunyip - Garfield",0,0,0,
"Emerald - Cockatoo",0,0,0,
"Koo Wee Rup",0,0,0,
"Pakenham - North",0,0,0,
"Pakenham - South",0,0,0,
"Berwick - North",0,0,0,
"Berwick - South",0,0,0,
"Doveton",0,0,0,
"Hallam",0,0,0,
"Narre Warren North",0,0,0,
"Endeavour Hills - North",0,0,0,
"Endeavour Hills - South",0,0,0,
"Narre Warren - North East",0,0,0,
"Narre Warren - South West",0,0,0,
"Cranbourne",0,0,0,
"Cranbourne East",0,0,0,
"Cranbourne North",0,0,0,
"Cranbourne South",0,0,0,
"Cranbourne West",0,0,0,
"Hampton Park - Lynbrook",0,0,0,
"Lynbrook - Lyndhurst",0,0,0,
"Pearcedale - Tooradin",0,0,0,
"Narre Warren South (East)",0,0,0,
"Narre Warren South (West)",0,0,0,
"Clarinda - Oakleigh South",0,0,0,
"Clayton South",0,0,0,
"Dandenong",0,0,0,
"Dandenong North",0,0,0,
"Dingley Village",0,0,0,
"Keysborough",0,0,0,
"Noble Park North",0,0,0,
"Springvale",0,0,0,
"Springvale South",0,0,0,
"Noble Park - East",0,0,0,
"Noble Park - West",0,0,0,
"Ashwood - Chadstone",0,0,0,
"Clayton",0,0,0,
"Glen Waverley - East",0,0,0,
"Glen Waverley - West",0,0,0,
"Mount Waverley - North",0,0,0,
"Mount Waverley - South",0,0,0,
"Mulgrave",0,0,0,
"Oakleigh - Huntingdale",0,3,3,
"Wheelers Hill",0,0,0,
"Ardeer - Albion",0,0,0,
"Cairnlea",0,0,0,
"Deer Park - Derrimut",0,3,3,
"Delahey",0,0,0,
"Keilor Downs",0,0,0,
"Kings Park (Vic.)",0,0,0,
"St Albans - North",0,0,0,
"St Albans - South",0,0,0,
"Sunshine",0,0,0,
"Sunshine North",0,0,0,
"Sunshine West",0,0,0,
"Sydenham",0,0,0,
"Taylors Lakes",0,0,0,
"Altona",0,0,0,
"Altona Meadows",0,4,4,
"Altona North",0,0,0,
"Newport",0,6,6,
"Seabrook",0,3,3,
"Williamstown",0,3,3,
"Braybrook",0,0,0,
"Footscray",0,0,0,
"Maribyrnong",0,3,3,
"Seddon - Kingsville",0,4,4,
"West Footscray - Tottenham",0,0,0,
"Yarraville",0,3,3,
"Bacchus Marsh",0,4,4,
"Hillside",0,0,0,
"Melton",0,5,5,
"Melton South",0,0,0,
"Melton West",0,0,0,
"Rockbank - Mount Cottrell",0,0,0,
"Taylors Hill",0,0,0,
"Burnside",0,0,0,
"Burnside Heights",0,0,0,
"Caroline Springs",0,5,5,
"Hoppers Crossing - North",0,3,3,
"Hoppers Crossing - South",0,4,4,
"Laverton",0,0,0,
"Tarneit",0,3,3,
"Truganina",0,0,0,
"Werribee - South",0,0,0,
"Wyndham Vale",0,4,4,
"Point Cook - East",0,0,0,
"Point Cook - North",0,0,0,
"Point Cook - South",0,0,0,
"Werribee - East",0,0,0,
"Werribee - West",0,0,0,
"Carrum Downs",0,0,0,
"Frankston",0,0,0,
"Frankston North",0,0,0,
"Frankston South",0,0,0,
"Langwarrin",0,0,0,
"Seaford (Vic.)",0,0,0,
"Skye - Sandhurst",0,0,0,
"Dromana",0,0,0,
"Flinders",0,0,0,
"Hastings - Somers",0,0,0,
"Mornington",0,0,0,
"Mount Eliza",0,0,0,
"Mount Martha",0,0,0,
"Point Nepean",0,0,0,
"Rosebud - McCrae",0,0,0,
"Somerville",0,0,0,
"Ararat",0,0,0,
"Ararat Region",0,0,0,
"Horsham",0,0,0,
"Horsham Region",0,0,0,
"Nhill Region",0,0,0,
"St Arnaud",0,0,0,
"Stawell",0,0,0,
"West Wimmera",0,0,0,
"Yarriambiack",0,0,0,
"Irymple",0,0,0,
"Merbein",0,0,0,
"Mildura Region",0,0,0,
"Red Cliffs",0,0,0,
"Mildura - North",0,0,0,
"Mildura - South",0,0,0,
"Buloke",0,0,0,
"Gannawarra",0,0,0,
"Kerang",0,0,0,
"Robinvale",0,0,0,
"Swan Hill",0,0,0,
"Swan Hill Region",0,0,0,
"Echuca",0,0,0,
"Kyabram",0,0,0,
"Lockington - Gunbower",0,0,0,
"Rochester",0,0,0,
"Rushworth",0,0,0,
"Cobram",0,0,0,
"Moira",0,0,0,
"Numurkah",0,0,0,
"Yarrawonga",0,0,0,
"Mooroopna",0,0,0,
"Shepparton - North",0,0,0,
"Shepparton - South",0,0,0,
"Shepparton Region - East",0,0,0,
"Shepparton Region - West",0,0,0,
"Glenelg (Vic.)",0,0,0,
"Hamilton (Vic.)",0,0,0,
"Portland",0,0,0,
"Southern Grampians",0,0,0,
"Camperdown",0,0,0,
"Colac",0,0,0,
"Colac Region",0,0,0,
"Corangamite - North",0,0,0,
"Corangamite - South",0,0,0,
"Otway",0,0,0,
"Moyne - East",0,0,0,
"Moyne - West",0,0,0,
"Warrnambool - North",0,0,0,
"Warrnambool - South",0,0,0,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,
"No Usual Address (Vic.)",0,0,0,
"Alexandra Hills",0,0,0,
"Belmont - Gumdale",0,0,0,
"Birkdale",0,0,0,
"Capalaba",0,0,0,
"Thorneside",0,0,0,
"Wellington Point",0,0,0,
"Cleveland",0,0,0,
"Ormiston",0,0,0,
"Redland Bay",0,0,0,
"Sheldon - Mount Cotton",0,0,0,
"Thornlands",0,0,0,
"Victoria Point",0,0,0,
"Redland Islands",0,0,0,
"Brisbane Port - Lytton",0,0,0,
"Manly - Lota",0,0,0,
"Manly West",0,0,0,
"Murarrie",0,0,0,
"Tingalpa",0,0,0,
"Wakerley",0,0,0,
"Wynnum",0,0,0,
"Wynnum West - Hemmant",0,0,0,
"Bald Hills",0,0,0,
"Bridgeman Downs",0,0,0,
"Carseldine",0,0,0,
"Everton Park",0,0,0,
"McDowall",0,0,0,
"Aspley",0,0,0,
"Chermside",0,0,0,
"Chermside West",0,0,0,
"Geebung",0,0,0,
"Kedron - Gordon Park",0,0,0,
"Stafford",0,0,0,
"Stafford Heights",0,0,0,
"Wavell Heights",0,0,0,
"Boondall",5,0,5,
"Brisbane Airport",0,0,0,
"Eagle Farm - Pinkenba",0,0,0,
"Northgate - Virginia",0,0,0,
"Nudgee - Banyo",0,0,0,
"Nundah",0,0,0,
"Bracken Ridge",0,0,0,
"Brighton (Qld)",0,0,0,
"Deagon",0,0,0,
"Sandgate - Shorncliffe",0,0,0,
"Taigum - Fitzgibbon",0,0,0,
"Zillmere",0,0,0,
"Camp Hill",0,0,0,
"Cannon Hill",0,0,0,
"Carina",0,0,0,
"Carina Heights",0,0,0,
"Carindale",0,0,0,
"Annerley",0,0,0,
"Coorparoo",0,0,0,
"Fairfield - Dutton Park",0,0,0,
"Greenslopes",0,0,0,
"Holland Park",0,0,0,
"Holland Park West",0,0,0,
"Woolloongabba",0,0,0,
"Yeronga",0,0,0,
"Eight Mile Plains",0,0,0,
"Macgregor (Qld)",0,0,0,
"Mansfield (Qld)",0,0,3,
"Mount Gravatt",0,0,0,
"Rochedale - Burbank",0,0,0,
"Upper Mount Gravatt",0,0,0,
"Wishart",0,0,0,
"Coopers Plains",0,0,0,
"Moorooka",0,0,0,
"Robertson",0,0,0,
"Salisbury - Nathan",0,0,0,
"Tarragindi",0,0,0,
"Algester",0,0,0,
"Calamvale - Stretton",0,0,0,
"Pallara - Willawong",0,0,0,
"Parkinson - Drewvale",0,0,0,
"Rocklea - Acacia Ridge",0,0,0,
"Kuraby",0,0,0,
"Runcorn",0,3,0,
"Sunnybank",0,0,0,
"Sunnybank Hills",0,0,0,
"Jindalee - Mount Ommaney",0,0,0,
"Middle Park - Jamboree Heights",0,0,0,
"Riverhills",0,0,0,
"Seventeen Mile Rocks - Sinnamon Park",0,0,0,
"Westlake",0,0,0,
"Bellbowrie - Moggill",0,0,0,
"Brookfield - Kenmore Hills",0,0,0,
"Chapel Hill",0,0,0,
"Fig Tree Pocket",0,0,0,
"Kenmore",0,0,4,
"Pinjarra Hills - Pullenvale",0,0,0,
"Chelmer - Graceville",0,0,0,
"Corinda",0,0,0,
"Indooroopilly",0,0,0,
"Sherwood",0,0,5,
"St Lucia",0,0,0,
"Taringa",0,0,0,
"Enoggera",0,0,0,
"Enoggera Reservoir",0,0,0,
"Keperra",0,0,0,
"Mitchelton",0,0,0,
"Mount Coot-tha",0,0,0,
"The Gap",0,0,0,
"Upper Kedron - Ferny Grove",0,0,0,
"Brisbane City",0,0,0,
"Fortitude Valley",0,0,0,
"Highgate Hill",0,0,0,
"Kangaroo Point",0,0,0,
"New Farm",0,4,4,
"South Brisbane",0,0,0,
"Spring Hill",0,0,0,
"West End",0,0,0,
"Balmoral",0,0,0,
"Bulimba",0,0,0,
"East Brisbane",0,0,0,
"Hawthorne",0,0,0,
"Morningside - Seven Hills",0,0,0,
"Norman Park",0,0,0,
"Albion",0,0,0,
"Alderley",0,0,0,
"Ascot",0,0,0,
"Clayfield",0,0,0,
"Grange",0,0,0,
"Hamilton (Qld)",0,0,0,
"Hendra",0,0,0,
"Kelvin Grove - Herston",0,0,0,
"Newmarket",0,0,0,
"Newstead - Bowen Hills",0,0,0,
"Wilston",0,0,0,
"Windsor",0,0,0,
"Wooloowin - Lutwyche",0,0,0,
"Ashgrove",0,0,0,
"Auchenflower",0,0,0,
"Bardon",0,0,0,
"Paddington - Milton",0,5,4,
"Red Hill (Qld)",0,0,0,
"Toowong",0,0,0,
"Brinsmead",4,0,4,
"Clifton Beach - Kewarra Beach",4,5,13,
"Freshwater - Stratford",4,6,5,
"Redlynch",4,3,10,
"Trinity Beach - Smithfield",3,3,6,
"Yorkeys Knob - Machans Beach",3,0,3,
"Bentley Park",4,9,16,
"Cairns City",3,3,7,
"Earlville - Bayview Heights",6,7,13,
"Edmonton",13,25,38,
"Gordonvale - Trinity",118,97,214,
"Kanimbla - Mooroobool",0,0,0,
"Lamb Range",0,0,0,
"Manoora",0,0,0,
"Manunda",0,0,0,
"Mount Sheridan",3,14,14,
"Westcourt - Bungalow",0,6,6,
"White Rock",0,5,5,
"Whitfield - Edge Hill",0,3,3,
"Woree",0,0,4,
"Babinda",145,57,197,
"Innisfail",42,79,114,
"Johnstone",179,166,345,
"Tully",208,221,426,
"Wooroonooran",0,0,0,
"Yarrabah",0,0,0,
"Daintree",47,81,132,
"Port Douglas",13,20,31,
"Atherton",21,12,32,
"Herberton",0,4,4,
"Kuranda",3,0,0,
"Malanda - Yungaburra",7,11,23,
"Mareeba",33,8,45,
"Balonne",0,0,0,
"Chinchilla",0,0,0,
"Goondiwindi",0,0,0,
"Inglewood - Waggamba",0,0,0,
"Miles - Wandoan",0,0,0,
"Roma",0,0,0,
"Roma Region",0,0,0,
"Tara",0,0,0,
"Crows Nest - Rosalie",0,0,0,
"Jondaryan",0,0,0,
"Millmerran",0,0,0,
"Pittsworth",0,0,0,
"Wambo",0,0,0,
"Clifton - Greenmount",0,0,0,
"Southern Downs - East",0,0,0,
"Southern Downs - West",0,0,0,
"Stanthorpe",0,0,0,
"Stanthorpe Region",0,0,0,
"Warwick",0,0,0,
"Central Highlands - East",0,0,0,
"Central Highlands - West",0,0,0,
"Emerald",0,0,0,
"Berserker",0,0,0,
"Bouldercombe",0,0,0,
"Emu Park",0,0,0,
"Frenchville - Mount Archer",0,0,0,
"Glenlee - Rockyview",0,0,0,
"Gracemere",0,0,0,
"Lakes Creek",0,0,0,
"Mount Morgan",0,0,0,
"Norman Gardens",0,0,0,
"Park Avenue",0,0,0,
"Parkhurst - Kawana",0,0,0,
"Rockhampton - West",0,0,0,
"Rockhampton City",0,0,0,
"Rockhampton Region - East",0,0,0,
"Rockhampton Region - North",0,0,0,
"Rockhampton Region - West",0,0,0,
"Shoalwater Bay",0,0,0,
"The Range - Allenstown",0,0,0,
"Yeppoon",5,0,5,
"Banana",0,0,0,
"Biloela",0,0,0,
"Agnes Water - Miriam Vale",0,0,0,
"Boyne Island - Tannum Sands",0,0,0,
"Callemondah",0,0,0,
"Clinton - New Auckland",0,0,0,
"Gladstone",0,0,0,
"Gladstone Hinterland",0,0,0,
"Kin Kora - Sun Valley",0,0,0,
"South Trees",0,0,0,
"Telina - Toolooa",0,0,0,
"West Gladstone",0,0,0,
"Broadbeach Waters",0,0,0,
"Burleigh Heads",0,0,0,
"Burleigh Waters",0,3,3,
"Mermaid Beach - Broadbeach",0,0,0,
"Mermaid Waters",0,0,0,
"Miami",0,0,0,
"Coolangatta",0,4,4,
"Currumbin - Tugun",0,4,4,
"Currumbin Waters",0,0,0,
"Elanora",0,8,8,
"Palm Beach",0,0,0,
"Arundel",0,0,0,
"Biggera Waters",0,0,0,
"Coombabah",0,0,0,
"Labrador",0,0,0,
"Paradise Point - Hollywell",0,0,0,
"Runaway Bay",0,0,0,
"Guanaba - Springbrook",0,0,0,
"Tamborine - Canungra",5,0,4,
"Currumbin Valley - Tallebudgera",0,0,0,
"Mudgeeraba - Bonogin",4,0,3,
"Reedy Creek - Andrews",0,0,0,
"Carrara",0,0,0,
"Highland Park",0,0,0,
"Nerang - Mount Nathan",0,0,0,
"Pacific Pines - Gaven",0,0,0,
"Worongary - Tallai",0,0,0,
"Coomera",0,0,0,
"Helensvale",0,0,0,
"Hope Island",0,4,4,
"Jacobs Well - Alberton",50,12,62,
"Ormeau - Yatala",8,0,12,
"Oxenford - Maudsland",0,0,0,
"Pimpama",4,0,0,
"Upper Coomera - Willow Vale",0,3,3,
"Clear Island Waters",0,0,0,
"Merrimac",0,0,0,
"Robina",0,0,0,
"Varsity Lakes",0,0,0,
"Ashmore",0,0,0,
"Molendinar",0,0,0,
"Parkwood",0,0,0,
"Southport - North",0,0,0,
"Southport - South",0,0,0,
"Benowa",0,0,0,
"Bundall",0,0,0,
"Main Beach",0,0,0,
"Surfers Paradise",0,0,0,
"Darra - Sumner",0,0,0,
"Durack",0,0,0,
"Forest Lake - Doolandella",0,3,3,
"Inala - Richlands",0,0,0,
"Oxley (Qld)",0,0,0,
"Wacol",0,0,0,
"Boonah",0,0,0,
"Esk",0,0,0,
"Lake Manchester - England Creek",0,0,0,
"Lockyer Valley - East",0,0,0,
"Lowood",0,0,0,
"Rosewood",0,0,0,
"Brassall",0,0,0,
"Bundamba",0,0,0,
"Churchill - Yamanto",0,0,0,
"Ipswich - Central",0,0,0,
"Ipswich - East",0,0,0,
"Ipswich - North",0,0,0,
"Karalee - Barellan Point",0,0,0,
"Karana Downs",0,0,0,
"Leichhardt - One Mile",0,0,0,
"North Ipswich - Tivoli",0,0,0,
"Raceview",0,0,0,
"Ripley",0,0,0,
"Riverview",0,0,0,
"Bellbird Park - Brookwater",0,0,0,
"Camira - Gailes",0,0,0,
"Carole Park",0,0,0,
"Collingwood Park - Redbank",0,0,0,
"Goodna",0,0,0,
"New Chum",0,0,0,
"Redbank Plains",0,0,0,
"Springfield",0,0,0,
"Springfield Lakes",0,0,0,
"Beaudesert",0,0,0,
"Beenleigh",0,0,3,
"Eagleby",5,0,0,
"Edens Landing - Holmview",0,0,0,
"Mount Warren Park",0,0,0,
"Wolffdene - Bahrs Scrub",0,0,0,
"Boronia Heights - Park Ridge",0,0,0,
"Browns Plains",0,0,0,
"Chambers Flat - Logan Reserve",0,0,0,
"Crestmead",0,0,0,
"Greenbank Military Camp",0,0,0,
"Hillcrest",0,0,0,
"Marsden",0,0,0,
"Munruben - Park Ridge South",0,0,0,
"Regents Park - Heritage Park",0,0,0,
"Greenbank",0,0,0,
"Jimboomba",0,0,0,
"Logan Village",0,0,0,
"Bethania - Waterford",0,0,0,
"Cornubia - Carbrook",0,0,0,
"Loganholme - Tanah Merah",0,0,0,
"Loganlea",0,0,0,
"Shailer Park",0,0,0,
"Waterford West",0,0,0,
"Daisy Hill",0,0,0,
"Kingston (Qld.)",0,0,0,
"Logan Central",0,0,0,
"Rochedale South - Priestdale",0,0,0,
"Slacks Creek",0,0,0,
"Springwood",0,0,0,
"Underwood",0,0,0,
"Woodridge",0,0,0,
"Bowen",4,0,7,
"Broadsound - Nebo",51,0,52,
"Clermont",0,0,0,
"Collinsville",13,6,14,
"Moranbah",0,0,0,
"Andergrove - Beaconsfield",18,80,94,
"East Mackay",9,27,29,
"Eimeo - Rural View",12,45,61,
"Eungella Hinterland",0,0,0,
"Mackay",7,21,23,
"Mackay Harbour",0,0,0,
"Mount Pleasant - Glenella",50,96,148,
"North Mackay",9,33,49,
"Ooralea - Bakers Creek",31,52,80,
"Pioneer Valley",273,129,404,
"Sarina",151,176,329,
"Seaforth - Calen",246,66,310,
"Shoal Point - Bucasia",11,30,42,
"Slade Point",0,14,14,
"South Mackay",9,58,65,
"Walkerston - Eton",256,114,368,
"West Mackay",15,51,63,
"Airlie - Whitsundays",15,21,37,
"Cape Conway",0,0,0,
"Proserpine",189,132,324,
"Beachmere - Sandstone Point",0,0,0,
"Bribie Island",0,0,0,
"Burpengary - East",0,0,0,
"Caboolture",0,0,4,
"Caboolture - South",0,0,0,
"Elimbah",0,0,0,
"Morayfield - East",0,0,0,
"Wamuran",0,0,0,
"Kilcoy",0,0,0,
"Woodford - D'Aguilar",0,0,0,
"Burpengary",0,0,0,
"Deception Bay",0,0,0,
"Morayfield",0,0,0,
"Narangba",0,0,0,
"Upper Caboolture",0,0,0,
"Clontarf",0,0,0,
"Margate - Woody Point",0,0,0,
"Redcliffe",0,0,0,
"Rothwell - Kippa-Ring",0,0,0,
"Scarborough - Newport - Moreton Island",0,0,0,
"Albany Creek",0,0,0,
"Cashmere",0,0,0,
"Dayboro",0,0,0,
"Eatons Hill",0,0,0,
"The Hills District",0,0,0,
"Samford Valley",0,0,0,
"Dakabin - Kallangur",0,0,0,
"Murrumba Downs - Griffin",0,0,0,
"North Lakes - Mango Hill",0,0,0,
"Bray Park",0,0,0,
"Lawnton",0,0,0,
"Petrie",0,0,0,
"Strathpine - Brendale",0,0,0,
"Aurukun",0,0,0,
"Cape York",0,0,0,
"Croydon - Etheridge",0,0,0,
"Kowanyama - Pormpuraaw",0,0,0,
"Northern Peninsula",0,0,0,
"Tablelands",39,24,63,
"Torres",0,0,0,
"Torres Strait Islands",0,0,0,
"Weipa",0,0,0,
"Carpentaria",0,0,0,
"Mount Isa",0,0,0,
"Mount Isa Region",0,0,0,
"Northern Highlands",0,0,0,
"Barcaldine - Blackall",0,0,0,
"Charleville",0,0,0,
"Far Central West",0,0,0,
"Far South West",0,0,0,
"Longreach",0,0,0,
"Buderim - North",0,0,0,
"Buderim - South",5,0,3,
"Mountain Creek",0,0,0,
"Sippy Downs",0,0,0,
"Aroona - Currimundi",0,0,0,
"Buddina - Minyama",0,0,0,
"Caloundra - Kings Beach",0,0,0,
"Caloundra - West",0,0,4,
"Golden Beach - Pelican Waters",0,0,0,
"Moffat Beach - Battery Hill",0,0,0,
"Parrearra - Warana",0,0,0,
"Wurtulla - Birtinya",0,0,0,
"Coolum Beach",0,0,0,
"Marcoola - Mudjimba",4,0,5,
"Maroochydore - Kuluin",0,0,0,
"Mooloolaba - Alexandra Headland",0,0,0,
"Noosa Heads",0,0,0,
"Noosaville",0,0,0,
"Sunshine Beach",0,0,0,
"Tewantin",0,0,0,
"Peregian Beach - Marcus Beach",0,0,0,
"Peregian Springs",0,0,0,
"Beerwah",0,0,0,
"Caloundra Hinterland",0,0,3,
"Glass House Mountains",0,0,0,
"Landsborough",0,0,0,
"Maroochy Hinterland",0,0,0,
"Palmwoods",0,0,0,
"Bli Bli",0,0,0,
"Diddillibah - Rosemount",3,0,3,
"Eumundi - Yandina",4,0,4,
"Nambour",0,0,0,
"Noosa Hinterland",0,0,0,
"Cambooya - Wyreema",0,0,0,
"Darling Heights",0,0,0,
"Drayton - Harristown",0,0,0,
"Gatton",0,0,0,
"Gowrie (Qld)",0,0,0,
"Highfields",0,0,0,
"Lockyer Valley - West",0,0,0,
"Middle Ridge",0,0,0,
"Newtown (Qld)",0,0,0,
"North Toowoomba - Harlaxton",0,0,0,
"Rangeville",0,0,0,
"Toowoomba - Central",0,0,0,
"Toowoomba - East",0,0,0,
"Toowoomba - West",0,0,0,
"Wilsonton",0,0,0,
"Ayr",225,315,544,
"Burdekin",675,340,1015,
"Charters Towers",3,0,3,
"Dalrymple",4,0,0,
"Ingham",80,146,225,
"Ingham Region",417,266,687,
"Palm Island",0,0,0,
"Aitkenvale",3,4,10,
"Annandale",3,11,14,
"Belgian Gardens - Pallarenda",3,4,8,
"Bohle Plains",8,3,11,
"Condon - Rasmussen",0,3,3,
"Cranbrook",0,5,5,
"Deeragun",9,15,23,
"Douglas",10,4,13,
"Garbutt - West End",0,7,4,
"Gulliver - Currajong - Vincent",0,4,3,
"Heatley",0,6,6,
"Hermit Park - Rosslea",4,10,9,
"Hyde Park - Pimlico",4,0,6,
"Kelso",4,7,11,
"Kirwan - East",4,0,5,
"Kirwan - West",7,8,12,
"Magnetic Island",0,0,0,
"Mount Louisa",5,14,15,
"Mundingburra",0,0,0,
"Northern Beaches",13,9,17,
"Oonoonba",3,12,13,
"South Townsville - Railway Estate",0,5,5,
"Townsville - South",6,30,36,
"Townsville City - North Ward",3,14,12,
"Wulguru - Roseneath",0,10,10,
"Ashfield - Kepnock",11,33,47,
"Bargara - Burnett Heads",74,72,148,
"Branyan - Kensington",8,22,30,
"Bundaberg",14,21,30,
"Bundaberg East - Kalkie",10,31,38,
"Bundaberg North - Gooburrum",34,34,68,
"Bundaberg Region - North",123,70,193,
"Bundaberg Region - South",149,115,266,
"Millbank - Avoca",7,44,54,
"Svensson Heights - Norville",19,33,54,
"Walkervale - Avenell Heights",30,58,85,
"Gayndah - Mundubbera",0,3,3,
"Gin Gin",43,3,48,
"Kingaroy",0,0,0,
"Kingaroy Region - North",0,0,0,
"Kingaroy Region - South",0,0,0,
"Monto - Eidsvold",0,4,4,
"Nanango",0,0,0,
"North Burnett",0,0,0,
"Cooloola",0,3,3,
"Gympie - North",3,0,5,
"Gympie - South",0,0,0,
"Gympie Region",0,0,5,
"Kilkivan",0,0,0,
"Booral - River Heads",8,4,13,
"Craignish - Dundowran Beach",0,0,0,
"Pialba - Eli Waters",0,4,4,
"Point Vernon",0,0,0,
"Torquay - Scarness - Kawungan",3,4,9,
"Urangan - Wondunna",4,0,4,
"Burrum - Fraser",10,3,16,
"Granville",0,12,22,
"Maryborough (Qld)",25,36,61,
"Maryborough Region - South",60,12,73,
"Tinana",13,28,36,
"Migratory - Offshore - Shipping (Qld)",0,0,0,
"No Usual Address (Qld)",9,8,13,
"Adelaide",0,0,0,
"North Adelaide",0,0,0,
"Adelaide Hills",0,0,0,
"Aldgate - Stirling",0,0,0,
"Hahndorf - Echunga",0,0,0,
"Lobethal - Woodside",0,0,0,
"Mount Barker",0,0,0,
"Mount Barker Region",0,0,0,
"Nairne",0,0,0,
"Uraidla - Summertown",0,0,0,
"Burnside - Wattle Park",0,0,0,
"Glenside - Beaumont",0,0,0,
"Toorak Gardens",0,0,0,
"Athelstone",0,0,0,
"Paradise - Newton",0,0,0,
"Rostrevor - Magill",0,0,0,
"Norwood (SA)",0,0,0,
"Payneham - Felixstow",0,0,0,
"St Peters - Marden",0,0,0,
"Nailsworth - Broadview",0,0,0,
"Prospect",0,0,0,
"Walkerville",0,0,0,
"Goodwood - Millswood",0,0,0,
"Unley - Parkside",0,0,0,
"Gawler - North",0,0,0,
"Gawler - South",0,0,0,
"Lewiston - Two Wells",0,0,0,
"Craigmore - Blakeview",0,0,0,
"Davoren Park",0,0,0,
"Elizabeth",0,0,0,
